,ResponseId,label,raw,block
0,R_5vQ6Xf1WugueDND,unsure,unsure,49
1,R_6Eu2oR7CwVBRwyp,rectangle with loop,rectangle with loop,40
2,R_6Eu2oR7CwVBRwyp,don't know,don't know,44
3,R_6Eu2oR7CwVBRwyp,don't know,don't know,47
4,R_6Eu2oR7CwVBRwyp,don't know,don't know,50
5,R_6D6PBkrChss508l,don't know,Don't know,12
6,R_6D6PBkrChss508l,looks like a triod with one more,Looks like a triod with one more,42
7,R_78Z3gy1mcpQ6lpQ,don't know,don't know,3
8,R_78Z3gy1mcpQ6lpQ,don't know,don't know,19
9,R_78Z3gy1mcpQ6lpQ,don't know,don't know,45
10,R_59txcXaWbmO04SW,i imagined two b’s facing outward attached by a y in the middle,I imagined two b’s facing outward attached by a y in the middle,8
11,R_59txcXaWbmO04SW,i picked your half a loop with two d’s back to back and their loops facing out,I picked your half a loop with two D’s back to back and their loops facing out,14
12,R_59txcXaWbmO04SW,the figure is facing up with the short line on the left side and a long line on the right side,The figure is facing up with the short line on the left side and a long line on the right side,25
13,R_59txcXaWbmO04SW,"well, i picked your two round objects that are close together and touching because of two lines on both side sides of","Well, I picked your two round objects that are close together and touching because of two lines on both side sides of",28
14,R_59txcXaWbmO04SW,i just picked her. i know above a capital l.,I just picked her. I know above a capital L.,45
15,R_59txcXaWbmO04SW,i picked two fives connected one facing up and one facing down,I picked two fives connected one facing up and one facing down,46
16,R_59txcXaWbmO04SW,i picture a capital and a lower case b with their backs touching.,I picture a capital and a lower case b with their backs touching.,54
17,R_7iswQke6K35dZLP,no idea,no idea,21
18,R_7sEXibfidLgmOWd,cant figure,cant figure,13
19,R_7sEXibfidLgmOWd,no clue,No clue,18
20,R_7sEXibfidLgmOWd,no idea,no idea,30
21,R_7sEXibfidLgmOWd,running p?,running p?,40
22,R_7sEXibfidLgmOWd,no clue,no clue,47
23,R_7Y5oIYgYMSPPwIa,not sure,not sure,19
24,R_3Jd1uTp9gkuwtOx,shape,Shape,18
25,R_1NOosR37pJud2UA,nothing,nothing,14
26,R_1NOosR37pJud2UA,nothing,nothing,47
27,R_5hxwR1AIkCiK5YQ,i dont know,I dont know,48
28,R_6P7TbV4CF3UQq2I,na,Na,37
29,R_7D6TWTVSx8Nbnl3,not sure,NOT SURE,2
30,R_3zpB5H3IbG7VP2T,rectangle with four triangles inside,Rectangle with four triangles inside,57
31,R_1mczKBtg2GsAMRr,penis,penis,32
32,R_5iOMXXK1u9zcmXQ,unidentified,unidentified,2
33,R_7ikqRNbiqOG98sh,unsure,unsure,10
34,R_7ikqRNbiqOG98sh,unsure,unsure,18
35,R_7ikqRNbiqOG98sh,unsure,unsure,19
36,R_7ikqRNbiqOG98sh,unsure,unsure,43
37,R_7ikqRNbiqOG98sh,unsure,unsure,47
38,R_6G88HMPnMd2CyLe,so,so,43
39,R_616NzOp9CQR5coo,i couldn't imagine the shape,I couldn't imagine the shape,4
40,R_616NzOp9CQR5coo,i couldn't imagine anything,I couldn't imagine anything,46
41,R_616NzOp9CQR5coo,i couldn't imagine the shape at all,I couldn't imagine the shape at all,52
42,R_6v6cp0SNipCZJqV,thingy,thingy,27
43,R_3Wu3EGpCFW6Qbuk,circle atop,circle atop,21
44,R_3Wu3EGpCFW6Qbuk,rectangle bulge,rectangle bulge,40
45,R_3Wu3EGpCFW6Qbuk,triangle atop,triangle atop,59
46,R_7U2V9B5aP4N5bKp,he,HE,30
47,R_7U2V9B5aP4N5bKp,unsure,Unsure,40
48,R_3fkIyfPjf94dl8o,ei,EI,10
49,R_3fkIyfPjf94dl8o,study,Study,14
50,R_3fkIyfPjf94dl8o,wmo,WMO,31
51,R_3fkIyfPjf94dl8o,fed,Fed,54
52,R_3hrNeSuAdYDCaL7,i don't kniw,I don't kniw,30
53,R_3hrNeSuAdYDCaL7,a box with a bump on the right,A box with a bump on the right,41
54,R_3hrNeSuAdYDCaL7,hi,HI,42
55,R_3hrNeSuAdYDCaL7,i'm not sure,I'm not sure,46
56,R_3cl2IMba6u7Q2Nr,unsure!,Unsure!,40
57,R_6NWzqbX4O0AMjJv,something?,something?,10
58,R_5LqyB71r6ag7pal,the letters hd,the letters HD,30
59,R_5LqyB71r6ag7pal,a circled l,a circled L,45
60,R_7PodChoqtIWfEkN,nothing,nothing,19
61,R_57Jf15YvbX6JX9g,i dont know,i dont know,10
62,R_57Jf15YvbX6JX9g,i have no idea,I have no idea,44
63,R_6HnmuPESQ911bSs,bd,bd,4
64,R_6HnmuPESQ911bSs,joined h d,Joined H D,29
65,R_6HnmuPESQ911bSs,staffed 'o',Staffed 'o',31
66,R_6HnmuPESQ911bSs,"stacked ""oov.","Stacked ""oov.",38
67,R_6HnmuPESQ911bSs,line-topped 'o'.,Line-topped 'o'.,43
68,R_6PA4QEiXZDENKp1,reverse buttplug,reverse buttplug,13
69,R_6PA4QEiXZDENKp1,buttplug,buttplug,29
70,R_7IcV6n5DqSpqtcR,l inside of an o,L inside of an O,45
71,R_7IcV6n5DqSpqtcR,no idea,no idea,46
72,R_6XoaIFqgUFLI7kJ,no idea,no idea,30
73,R_6XoaIFqgUFLI7kJ,no idea,no idea,56
74,R_7JKsUnPA3jzjDRI,don't know,Don't know,19
75,R_7JKsUnPA3jzjDRI,don't know,Don't know,44
76,R_7JKsUnPA3jzjDRI,not sure,not sure,47
77,R_18IHc8q1xLCnQHe,don't know,don't know,9
78,R_18IHc8q1xLCnQHe,don't know,don't know,10
79,R_18IHc8q1xLCnQHe,don't know,don't know,21
80,R_18IHc8q1xLCnQHe,don't know,don't know,30
81,R_18IHc8q1xLCnQHe,don't know,don't know,34
82,R_18IHc8q1xLCnQHe,don't know,don't know,36
83,R_18IHc8q1xLCnQHe,don't know,don't know,55
84,R_1HvLzzAFpuugjE9,no idea,no idea,9
85,R_1HvLzzAFpuugjE9,no idea,no idea,30
86,R_1HvLzzAFpuugjE9,no idea,no idea,44
87,R_1HvLzzAFpuugjE9,no idea,no idea,45
88,R_1HvLzzAFpuugjE9,no idea,no idea,55
89,R_1PcY1LS2Mfhz64A,hd,HD,30
90,R_5RvyCf53JoQh7Eg,no idea,No idea,4
91,R_5RvyCf53JoQh7Eg,the same as previous question,The same as previous question,5
