Model,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
o3_default,564.1452380952381,515.7904761904762,612.5,180,0,180,3.134140211640212
o3_pro,596.3428571428572,532.6857142857143,660.0,180,0,180,3.313015873015873
o3_images,664.1821428571428,604.8642857142858,723.5,240,0,240,2.767425595238095
gpt5,401.82261904761907,365.6452380952381,438.0,120,0,120,3.3485218253968254
opus,158.81904761904758,146.63809523809522,171.0,60,0,60,2.6469841269841266
sonnet,250.14047619047625,237.78095238095239,262.5,120,0,120,2.0845039682539688
gemini_2.0_flash,227.98214285714286,214.96428571428572,241.0,119,1,120,1.8998511904761906
gemini_2.0_flash_images,99.34523809523807,97.69047619047622,101.0,38,22,60,1.655753968253968
gemini_2.5_pro,140.1809523809524,131.36190476190473,149.0,60,0,60,2.3363492063492064
chatgpt-4o,251.74880952380948,235.99761904761908,267.5,120,0,120,2.0979067460317458
gpt4.1,254.86190476190478,232.22380952380956,277.5,120,0,120,2.1238492063492065
gpt4.1_images,229.8273809523809,215.15476190476193,244.5,118,2,120,1.9152281746031743
o4mini_high,318.1309523809524,297.7619047619048,338.5,119,1,120,2.65109126984127
o4mini_med,293.70595238095245,275.4119047619048,312.0,120,0,120,2.4475496031746036
