,Model,overall_score,normal_score,expert_score,diff_normed_score,n_graded,n_ungraded,n_total,mean_score_per_item,mean_diff_normed_score_per_item,accumulated_difficulty
0,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),44.46666666666666,42.93333333333334,46.0,18.25634645433837,12,0,12,3.7055555555555553,1.5213622045281976,7.095636591276982
1,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),27.092857142857145,26.185714285714283,28.0,11.265164936298456,12,0,12,2.2577380952380954,0.938763744691538,7.095636591276982
2,Anthropic: Claude Sonnet 4 - Single Context - Extended Thinking 4000t (2025-09-11),27.559523809523807,26.619047619047617,28.5,11.517803714508737,12,0,12,2.2966269841269837,0.9598169762090615,7.095636591276982
3,DeepMind: Gemini 2.0 Flash - Multiple Context (2025-07-21),16.71666666666667,17.43333333333333,16.0,6.961300412980114,11,1,12,1.3930555555555557,0.5801083677483428,7.095636591276982
4,DeepMind: Gemini 2.0 Flash - Single Context (2025-07-21),24.383333333333336,22.766666666666662,26.0,10.058526461409407,12,0,12,2.0319444444444446,0.838210538450784,7.095636591276982
5,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),20.538095238095238,22.076190476190472,19.0,8.401332068426715,7,5,12,1.7115079365079364,0.7001110057022263,7.095636591276982
6,DeepMind: Gemini 2.5 Pro - Multiple Context - Dynamic Thinking (2025-07-21),31.875,30.25,33.5,12.480032812545316,12,0,12,2.65625,1.0400027343787763,7.095636591276982
7,DeepMind: Gemini 2.5 Pro - Single Context - Dynamic Thinking (2025-07-21),29.25,27.499999999999996,31.0,12.062580081312072,12,0,12,2.4375,1.005215006776006,7.095636591276982
8,OpenAI: ChatGPT-4o - Multiple Context (2025-07-25),24.633333333333333,23.766666666666666,25.5,10.403852488522329,12,0,12,2.0527777777777776,0.8669877073768607,7.095636591276982
9,OpenAI: ChatGPT-4o - Single Context (2025-07-25),24.347619047619045,24.695238095238093,24.0,10.641061559351959,12,0,12,2.028968253968254,0.8867551299459966,7.095636591276982
10,OpenAI: GPT 4.1 - Multiple Context (2025-07-21),21.15714285714286,18.81428571428571,23.5,8.746562058954897,12,0,12,1.7630952380952383,0.7288801715795747,7.095636591276982
11,OpenAI: GPT 4.1 - Single Context (2025-07-21),35.24999999999999,35.0,35.5,15.024266017201954,12,0,12,2.9374999999999996,1.2520221681001629,7.095636591276982
12,OpenAI: GPT 4.1 w/ GPT-image-1 - Multiple Context (2025-07-21),17.916666666666668,18.333333333333332,17.5,7.387461667463314,11,1,12,1.4930555555555556,0.6156218056219428,7.095636591276982
13,OpenAI: GPT 4.1 w/ GPT-Image-1 - Single Context (2025-07-21),23.083333333333332,23.166666666666664,23.0,9.506099084382784,12,0,12,1.923611111111111,0.7921749236985653,7.095636591276982
14,OpenAI: GPT 5 - Multiple Context - High Reasoning (2025-09-11),46.64999999999999,45.8,47.5,19.310489559606427,12,0,12,3.8874999999999993,1.6092074633005355,7.095636591276982
15,OpenAI: GPT 5 - Multiple Context - High Reasoning (2025-09-15),45.29999999999999,44.6,46.0,18.443103655814955,12,0,12,3.774999999999999,1.5369253046512463,7.095636591276982
16,OpenAI: GPT 5 - Multiple Context - Low Reasoning (2025-09-15),33.358333333333334,32.21666666666667,34.5,14.001345169980116,12,0,12,2.7798611111111113,1.1667787641650096,7.095636591276982
17,OpenAI: GPT 5 - Multiple Context - Medium Reasoning (2025-09-16),38.00833333333333,36.01666666666666,40.0,15.74458778028807,12,0,12,3.167361111111111,1.3120489816906724,7.095636591276982
18,OpenAI: GPT 5 - Multiple Context - Minimal Reasoning (2025-09-16),21.93452380952381,22.36904761904762,21.5,9.283697995112833,12,0,12,1.8278769841269842,0.7736414995927361,7.095636591276982
19,OpenAI: o3 - Multiple Context - High Reasoning (2025-07-21),42.233333333333334,38.96666666666666,45.5,17.528114982893303,12,0,12,3.5194444444444444,1.460676248574442,7.095636591276982
20,OpenAI: o3 - Multiple Context - High Reasoning (2025-09-15),36.66666666666667,32.83333333333333,40.5,15.734298906744941,12,0,12,3.055555555555556,1.3111915755620784,7.095636591276982
21,OpenAI: o3 - Multiple Context - Low Reasoning (2025-09-12),37.38333333333333,38.266666666666666,36.5,15.336149400095165,12,0,12,3.1152777777777776,1.2780124500079304,7.095636591276982
22,OpenAI: o3 - Multiple Context - Medium Reasoning (2025-09-12),34.41666666666667,33.33333333333333,35.5,14.44527441763789,12,0,12,2.868055555555556,1.2037728681364908,7.095636591276982
23,OpenAI: o3 - Single Context - High Reasoning (2025-07-21),36.61666666666667,36.733333333333334,36.5,15.569281808814647,12,0,12,3.051388888888889,1.2974401507345539,7.095636591276982
24,OpenAI: o3 Pro - Multiple Context - High Reasoning (2025-07-21),47.141666666666666,43.28333333333333,51.0,19.175815277318783,12,0,12,3.928472222222222,1.597984606443232,7.095636591276982
25,OpenAI: o3 Pro - Multiple Context - High Reasoning (2025-09-16),44.62499999999999,41.75,47.5,18.920866847757168,12,0,12,3.7187499999999996,1.576738903979764,7.095636591276982
26,OpenAI: o3 Pro - Single Context - High Reasoning (2025-07-21),39.35,36.7,42.0,16.73123533158099,12,0,12,3.279166666666667,1.3942696109650825,7.095636591276982
27,OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-21),37.16666666666667,33.83333333333333,40.5,15.803725569488003,12,0,12,3.0972222222222228,1.316977130790667,7.095636591276982
28,OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-22),29.824999999999996,30.15,29.5,12.552895126841891,12,0,12,2.485416666666666,1.046074593903491,7.095636591276982
29,OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-23),40.15833333333333,39.31666666666666,41.0,16.47304692422893,12,0,12,3.3465277777777778,1.372753910352411,7.095636591276982
30,OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-24),27.333333333333332,27.166666666666664,27.5,11.402795632325741,12,0,12,2.2777777777777777,0.9502329693604784,7.095636591276982
31,OpenAI: o3 w/ GPT-image-1 - Multiple Context - Med Reasoning (2025-07-14),30.33809523809524,30.676190476190474,30.0,12.031802622622253,12,0,12,2.528174603174603,1.0026502185518544,7.095636591276982
32,OpenAI: o4-mini - Multiple Context - High Reasoning (2025-07-21),40.45833333333333,36.916666666666664,44.0,16.66326520316954,12,0,12,3.3715277777777772,1.3886054335974618,7.095636591276982
33,OpenAI: o4-mini - Multiple Context - Medium Reasoning (2025-07-14),28.916666666666668,28.333333333333332,29.5,11.839787851397109,12,0,12,2.4097222222222223,0.9866489876164257,7.095636591276982
34,OpenAI: o4-mini - Single Context - High Reasoning (2025-07-21),22.55,24.099999999999998,21.0,9.889597711151033,12,0,12,1.8791666666666667,0.8241331425959194,7.095636591276982
35,OpenAI: o4-mini - Single Context - Medium Reasoning (2025-07-14),27.10833333333333,24.21666666666667,30.0,11.658009813198671,12,0,12,2.2590277777777774,0.971500817766556,7.095636591276982
